,current_state,go_in_elevator_time,go_out_elevator_time,goin_duration,goin_rollback_duration,goout_duration,robot_id,trip_id,date
83,go out elevator,2020-01-19 16:50:50.951,2020-01-19 16:51:30.011,28.387,,8.428,EVT6-2-18,35,2020-01-19 16:50:50.951
84,go out elevator,2020-01-19 16:55:34.577,2020-01-19 16:56:04.682,14.084,,9.782,EVT6-2-18,36,2020-01-19 16:55:34.577
85,go out elevator,2020-01-19 18:10:19.232,2020-01-19 18:10:50.293,14.919,,8.59,EVT6-2-18,37,2020-01-19 18:10:19.232
86,go out elevator,2020-01-19 14:11:35.110,2020-01-19 14:12:06.176,15.065,,8.354,EVT6-2-22,0,2020-01-19 14:11:35.110
87,go out elevator,2020-01-19 14:15:18.750,2020-01-19 14:15:41.792,12.733,,7.585,EVT6-2-22,1,2020-01-19 14:15:18.750
88,go out elevator,2020-01-19 14:17:43.037,2020-01-19 14:18:09.090,14.25,,7.6850000000000005,EVT6-2-22,2,2020-01-19 14:17:43.037
89,go out elevator,2020-01-19 14:19:44.360,2020-01-19 14:20:15.417,14.298,,8.121,EVT6-2-22,3,2020-01-19 14:19:44.360
90,go out elevator,2020-01-19 14:23:47.748,2020-01-19 14:24:14.860,17.243,,8.849,EVT6-2-22,4,2020-01-19 14:23:47.748
91,go out elevator,2020-01-19 14:26:05.019,2020-01-19 14:26:28.069,12.722,,7.395,EVT6-2-22,5,2020-01-19 14:26:05.019
92,go out elevator,2020-01-19 14:28:29.308,2020-01-19 14:28:55.363,15.675,,8.28,EVT6-2-22,6,2020-01-19 14:28:29.308
93,go out elevator,2020-01-19 14:30:32.556,2020-01-19 14:30:56.608,13.495,,9.699,EVT6-2-22,7,2020-01-19 14:30:32.556
94,go out elevator,2020-01-19 14:33:03.870,2020-01-19 14:33:27.911,13.785,,7.832,EVT6-2-22,8,2020-01-19 14:33:03.870
95,go in elevator,2020-01-19 14:35:01.164,,,13.057,,EVT6-2-22,9,2020-01-19 14:35:01.164
96,go out elevator,2020-01-19 14:35:57.236,2020-01-19 14:36:21.323,13.731,,7.661,EVT6-2-22,9,2020-01-19 14:35:57.236
97,go out elevator,2020-01-19 14:37:56.691,2020-01-19 14:38:20.884,14.0,,7.816,EVT6-2-22,10,2020-01-19 14:37:56.691
98,go out elevator,2020-01-19 14:41:30.202,2020-01-19 14:41:55.250,14.821,,8.346,EVT6-2-22,11,2020-01-19 14:41:30.202
99,go out elevator,2020-01-19 14:43:38.445,2020-01-19 14:44:02.491,13.366,,7.874,EVT6-2-22,12,2020-01-19 14:43:38.445
100,go out elevator,2020-01-19 14:47:30.127,2020-01-19 14:47:59.187,13.92,,9.938,EVT6-2-22,13,2020-01-19 14:47:30.127
101,go in elevator,2020-01-19 14:57:52.847,,,,,EVT6-2-22,14,2020-01-19 14:57:52.847
102,go out elevator,2020-01-19 14:59:38.044,2020-01-19 15:00:10.127,15.543,,8.403,EVT6-2-22,14,2020-01-19 14:59:38.044
103,go in elevator,2020-01-19 15:04:48.179,,,4.158,,EVT6-2-22,15,2020-01-19 15:04:48.179
104,go out elevator,2020-01-19 15:07:20.592,2020-01-19 15:07:45.647,14.901,,8.025,EVT6-2-22,15,2020-01-19 15:07:20.592
105,go out elevator,2020-01-19 15:09:42.855,2020-01-19 15:10:08.930,15.25,,8.019,EVT6-2-22,16,2020-01-19 15:09:42.855
106,go out elevator,2020-01-19 15:13:09.252,2020-01-19 15:13:37.315,17.514,,7.564,EVT6-2-22,17,2020-01-19 15:13:09.252
107,go out elevator,2020-01-19 15:15:41.519,2020-01-19 15:16:07.617,15.239,,8.437,EVT6-2-22,18,2020-01-19 15:15:41.519
108,go out elevator,2020-01-19 15:19:32.097,2020-01-19 15:19:56.149,13.573,,7.213,EVT6-2-22,19,2020-01-19 15:19:32.097
109,go out elevator,2020-01-19 15:21:41.642,2020-01-19 15:22:05.704,13.559,,8.825,EVT6-2-22,20,2020-01-19 15:21:41.642
110,go out elevator,2020-01-19 15:25:29.066,2020-01-19 15:25:54.120,14.693999999999999,,7.361,EVT6-2-22,21,2020-01-19 15:25:29.066
111,go out elevator,2020-01-19 15:27:57.419,2020-01-19 15:28:22.479,14.942,,8.87,EVT6-2-22,22,2020-01-19 15:27:57.419
112,go out elevator,2020-01-19 15:32:32.387,2020-01-19 15:32:58.444,15.799,,8.051,EVT6-2-22,23,2020-01-19 15:32:32.387
